ID,X,Name,Link,Country,Kiva Status,"Kiva Risk Rating
(5 best)","Secular Rating 
(1-4)",Religious Affiliation,Comments on secular rating,"Social Rating
(1-4)",Comments on social rating,MFI Link,By,Date,Review comments,P,J,MFI Name,Timestamp,MFI Name Check
254,ok,African Leadership Academy,Lend,South Africa,active,,4,secular,"They say they have students of all religions, and they even mention atheists!  :-)  They facilitate the students beliefs and have one room reserved for all spiritual practices. P: agreed",4,"This is an unique case because it is a school rather than a typical MFI.  They state that a students ability to pay tuition is not a factor in admissions decisions, and they do a lot for financial assistance.  They give the Anzisha Prize based on the impact a young leader has made on the well-being of their community.  Their focus is on improving all aspects of social well-being via education, and they include the entire continent of Africa, therefore I think it could be a 4.  ""Every aspect of ALA student life is built around leadership, responsibility, and compassion for others."" P: agreed. Difficult to compare them to the average MFI, but I think they're doing a good job.",http://www.africanleadershipacademy.org/,Jim,9/14/2012,,,,African Leadership Academy,,0
309,ok,African Solar Rise,Lend,Tanzania,active,,4,Secular,Secular. One of the founders studied theology; the blog talks about one volunteer visiting a christian mass.,3,Non-profit. Organizes groups of people to develop renewable energy businesses. ,https://www.african-solar-rise.org/en/index.php,Jim,6/28/2013,P: agreed. I like that they're non-profit,,,African Solar Rise,,0
261,ok,AgDevCo,Lend,Mozambique,active,,4,Secular,"No mention of religion on their website, partners are also non-religious",2,"Not for profit, or social, company. They identify promising farmers/ agricultural students and give them training, infrastructure, support and money to grow their farm. Included in interest rate is fee for crop insurance, if there is not enough rain they will pay out. Maybe a 3? Jim?",http://www.agdevco.com/,Petra,12/23/2012,,,,AgDevCo,,0
398,ok,Agence Communautaire pour le Financement de la Micro Entreprise (ACFIME),Lend,Burkina Faso,active,2,2,Christian,"No website. Official name according to mix profile is ACFIME-CREDO. The founder and General Secretary of CREDO - Christian Relief and Development Organization is a Reverend Dr. Moses Napon, According to CREDO website ""C.RE.DO’s vision and mission is founded on the biblical principles of love and fulfilment inherent in the creation of man"" ...""C.RE.DO’s vision is that of a world where the poor and the marginalised of the society enjoy their dignity as creatures of God ""... ""The mission of C.RE.DO is to work in grassroots communities in churches and church-based organisations to help the most underprivileged and/or destitute persons to regain their human dignity as made in he image of God: free and responsible."" One of CREDO and ACFIME partners is Woord en Daad, this (dutch) organization is also religious. According to CREDO website ""The interventions of C.RE.DO are made regardless of race, religion and sex"" ",2,"No information beside the one provided by Kiva. According to Kiva ACFIME has 90% female clients and 24% rural clients, most of whom are illiterate. ACFIME offers two types of loans on Kiva: solidarity group loans and agricultural loans. The solidarity group loan is offered to groups of 5-10 clients (mostly women) in urban and rural areas.The agricultural loans not only help farmers financially, but also guarantee a buyer for their crops and help farmers get training on how to select and care for crops. 1 or 2? (2 because of buyers and training for farmers?) ",http://mixmarket.org/mfi/acfime-credo,Alessandra,8/3/2014,,,J,Agence Communautaire pour le Financement de la Micro Entreprise (ACFIME),,0
408,ok,Agora Partnerships,Lend,"Colombia, Peru",active,,4,Secular,No mention of religion,2,"Targets entrepreneurs who promote social initiatives and provides them training and financial support.  Each entrepreneur is assigned a sponsor (""cohort"") who guides them through the training and gives them personalized assistance in financing and other business related support (e.g. mentors, planning, networking, marketing), primarily at intensive retreats.  Partners with Thriive Capital and Aflore for loans (the only loan so far has been to provide capital for Aflore).  Good and comprehensive entrepreneurial support, with a great program for women entrepreneurs,  but no other social programs so a strong 2.",http://agorapartnerships.org/,Jim,5/15/2015,,,,Agora Partnerships,,0
227,ok,Agro Capital Management LLC,Lend,Ukraine,active,1,3,A bit of christian influence,"Several people on the board of this commercial organisation are mennonite; we've discussed this before (see MiCredito) and Jim said they very rarely proselytize, believe in doing good, without trying to convert people, so we then decided on a 3, not a 4. Let's do that again.",2,"A social business that sells agricultural technological products to the farmers of the Ukraine, in a lease-to-buy construct, hoping to thus help these farmers to grow their farm and make a profit. They do collaborate with a mennonite charity (the UHDP) that gives agricultural training and advice to the farmers. Maybe a 2? Otherwise a 1.  I agree, technically it seems a 1 (see ""For Farmers/How We Work"" on their page) but then by putting together the packages it seems more like a 2.",http://agrocapital.com.ua/index.php/en/,Petra,8/22/2012,,,,Agro Capital Management LLC,,0
77,ok,Al Majmoua Lebanese Association for Development,Lend,Lebanon,active,4.5,4,Secular,"""non-discriminatory (in terms of geography, religion, revenue and gender), the institution serves all citizens residing and working with the aim of increasing their welfare.""  per youtube link",3,"Social: on Kiva's website they mention a holistic approach, including business education, focus on women, financial education. Offered help after conflicts in the region. Promotes businesses by organizing fairs and even a fashion show","http://www.almajmoua.org/index.html  <-- last update 2008
http://www.youtube.com/watch?v=e9fCcWjEXNw  <--  see video comments
http://www.almajmoua.org.lb/   <-- dead
",Jim,4/21/2011,Websites dead / outdated,,,Al Majmoua Lebanese Association for Development,,0
205,ok,Al-Amal Microfinance Bank,Lend,Yemen,active,3,4,Secular,"No mention of religion.  They are heavily into Islamic loan products (it is Yemen...) but that is a service to Islamic customers, not a reflection of the MFI. P: Found this in July 2012: ""AMB was selected to receive this award as it offers diversified financial services which are innovating, sustainable, scalable and Market-driven Models in line with Islamic Sharia'a "" ",2,"Appears to be solely a lending institution.  Extra credit for targeting women (59% of borrowers) in a 98% Islamic country. P: plus about 33% of staff is also female. I agree with the 2. 

",http://www.alamalbank.com/,Jim,11/2/2011,,,,Al-Amal Microfinance Bank,,0
123,ok,"Alalay sa Kaunlaran, Inc. (ASKI)",Lend,Philippines,active,4,1,Christian,"God-centered, Christian principles",2,"Some good programs including health, environment, education, but too focused on religion. (Giving away bibles, educate children also spiritually etc).",http://www.aski.com.ph/,Petra,4/22/2011,Social - Petra - I agree,,,"Alalay sa Kaunlaran, Inc. (ASKI)",,0
357,ok,Alivio Capital,Lend,Mexico,active,,4,Secular,No mention of religion,1,"Makes loans to low income families for medical expenses.  Although they charge 28% interest, that is low compared to local banks.",http://www.aliviocapital.com/,Jim,9/29/2014,,,,Alivio Capital,,0
326,ok,American University of Central Asia,Lend,Kyrgyzstan,active,1,4,Secular,No mention of religion,3,"University targeting top students, especially women.  Most receive financial aid packages, and part of that package is in the form of a Kiva loan.",https://www.auca.kg/,Jim,9/27/2013,,,,American University of Central Asia,,0
81,ok,Apoyo Integral,Lend,El Salvador,active,4,4,Secular,Partner with ACCION (secular).,2,In their Spanish work report of 2010 they mention business and financial education to 315 clients in that year; plus they offer health and life insurance. ,http://translate.google.com/translate?hl=en&sl=es&u=http://www.integral.com.sv/&ei=0H2wTY_vIqyO0QHy8Jn1CA&sa=X&oi=translate&ct=result&resnum=2&sqi=2&ved=0CCcQ7gEwAQ&prev=/search%3Fq%3Dapoyo%2Bintegral%26hl%3Den%26biw%3D1145%26bih%3D858%26prmd%3Divns,Jim,4/21/2011,,,,Apoyo Integral,,0
56,ok,Aqroinvest Credit Union,Lend,Azerbaijan,active,3,4,Secular,Secular,2,"Social: very bad english, even unclear whether by training they mean training of clients or of their staff. Mentiones: ""Gives advices on finance problems and help all kind of document."" . A 2?
Jim - I agree.  They mention training but then say it is primarily software provided by USAID
",http://www.aqroinvest.net/en/index_en.htm,Jim,4/20/2011,,,,Aqroinvest Credit Union,,0
289,ok,Arab Center for Agricultural Development (ACAD),Lend,Palestine,active,1.5,4,Secular,P: Also offer islamic loan products to serve their religious clients; I don't see that as them being religious themselves,2,"Offer financial products, offer some business support services and facilitation of savings. Work with partners who also offer business education etc (but that's not them). Some special loan products for women.",http://acad.ps/,Petra,7/16/2013,,,,Arab Center for Agricultural Development (ACAD),,0
392,ok,ASA Initiative FNGO,Lend,Ghana,active,,4,Secular,No mention of religion.  The 6-pointed star in their logo doesn't relate to Judaism.,2,"Loans, training, and onsite support to ""the productive poor/under privileged"".  Target women, youth, orphans, and HIV/AIDS.  The agriculture loans typically pay for labor for weeding and harvesting, and ASA gets paid directly from the buyers of the harvest.  Green stove loans are for stoves developed to burn agricultural waste and were developed in partnership with a university in Italy.",http://www.asainitiativegh.org/,Jim,9/29/2014,,,,ASA Initiative FNGO,,0
119,ok,Asociación Arariwa,Lend,Peru,active,3,4,Secular,Secular,3,"Good training programs: family welfare, health, business education. Savings are encouraged.",http://translate.google.com/translate?hl=en&sl=es&tl=en&u=http%3A%2F%2Farariwa-microfinanzas.org.pe%2F,Petra,4/22/2011,Social - Petra - agree,,,Asociación Arariwa,,0
113,ok,Asociación ASDIR,Lend,Guatemala,active,3,4,Secular,No mention of religion or secularity.,2,"Social: insurance, savings possible and offers typing and computer education.",http://translate.google.com/translate?hl=en&sl=auto&tl=en&u=http%3A%2F%2Fwww.asdir.net%2Fsomos.html,Jim,4/22/2011,"P: It appears secular indeed. Let's make it a 4? 
Jim - agree",,,Asociación ASDIR,,0
369,ok,Asociación Chajulense de Mujeres - Unidas por la Vida,Lend,Guatemala,active,,4,,"No website. A google search reveals that within the Chajul's cooperative, Chajulense de Mujeres ""Unidas por la vida"" (United for Life) is a group of over 100 women who work together to benefit the lives of their coop sisters as well as their families (http://coopcoffees.com/what/trading-partners/chajul-guatemala/chajulense-de-mujeres). No mention of religion on the cooperative website (http://asociacionchajulense.org) that is very basic. Ixil are Maya people indigenous to Guatemala",2,"Chajul's cooperative is a nonprofit organization that aims to improve the quality of life of Ixil population, promote a sustainable development model that is environmentally sound, economically feasible, fair from a social point of view and appropriate from a cultural standpoint. For women's co-op no other information as that on Kiva: it commercializes the artisanal knitting products created by the members, provides a credit and savings program, life insurance policy and investment opportunities for its members. All personnel managing and distributing the loans are indigenous women. Relatively low interest rate (13-18%). A 2 for focus indigenous women and some services beside loans?   Jim - agree.",http://www.kiva.org/partners/369,Alessandra,9/5/2014,,,J,Asociación Chajulense de Mujeres - Unidas por la Vida,,0
446,ok,Asociación de Productores de Tara del Norte (APTN),Lend,Peru,active,,4,Presumed Secular,"No information on values, mission, etc. but no indication of a religious agenda.",3,"Focus on small scale tara farmers.  Tara is a small tree that is an environmentally friendly source of industrial and medicinal tannin.  Kiva loans have been for the purchase of organic fertilizers.  APTN also does other green work, helping develop native biocontrol for insects which threaten tara crops.  They also work the entire supply and output chain.  It's a bit of a stretch, but a 3 for leading the ground-up efforts to make the environmentally friendly tara a significant export product for Peru.",http://www.kiva.org/partners/446,Jim,3/22/2015,,,,Asociación de Productores de Tara del Norte (APTN),,0
296,ok,Assilassimé Solidarité,Lend,Togo,active,,4,Secular,"No mention of religion. This MFI was started by ""Entrepreneurs du Monde"" who are secular",3,"Provides microfinance loans to very vulnerable people: particularly unbanked individuals, the disabled, single mothers, sex workers, people living with HIV, and widows. Offers business and financial education. A small 3 or a big 2",http://www.entrepreneursdumonde.org/en/nos-actions/nos-partenaires-locaux/assilassime/,Petra,7/26/2013,,,,Assilassimé Solidarité,,0
148,ok,Association for Rural Development (ARD),Lend,Sierra Leone,active,1.5,4,Secular,"MFI has no website, but seems secular",3," Based on Kiva page: initially being a charity organization that transitioned to MFI, focuses on women and provides education (business, HIV/AIDS, literacy).
",none,Petra,4/22/2011,Social - Petra - I agree,,,Association for Rural Development (ARD),,0
354,ok,ayzh,Lend,"Ghana, United States, Zambia",active,,4,Secular,No mention of religion.,2,"ayzh is a US for-profit company that sells affordable birthing kits to entrepreneurs in Zambia and Ghana for $7-$9 (via no-interest loans), who then re-sell them.  They plan to expand to post-partum and newborn kits as well as hygiene/sanitation kits.  ",http://www.ayzh.com/,Jim,3/11/2014,,,,ayzh,,0
450,ok,B-fit,Lend,"Turkey, United States",active,,3,Some religion,"In the Values section, the website says they don't disciminate based on religion (""non-judgmental acceptance"").  They do say that ""we have to use all possibilities"" in regards to faith helping achieve fitness results.  No indication that they are actually promoting religion however.  Although Turkey is 98% Muslim, they are the only Muslim country that has no national religion and a secular government that guarantees religious freedom.  B-Fit seems to be reflecting that.  A 3 or 4, but a 3 since they could easily have left the ""possibilities"" statement out.",4,"B-Fit is a women-owned chain of women-only fitness centers, and they promote fitness for all ages of women.  They have a 30-minute program to encourage participation.  The only loan to date has been for over $10k for a woman entrepreneur to open a center.  The centers not only provide an opportunity for fitness, they are also good places for women-only social interaction, and they have non-fitness related activities such as toy drives and other charitable causes.  A 4 because the centers are much more than just a fitness center - they promote women entrepreneurs and social bonding in a very men-centric environment.  In fact the initial loan was for the center named ""B-Fit Sports and Social Service for Women"".  Also, loans are 0% interest.",http://www.b-fit.com.tr/,Jim,8/29/2015,,,,B-fit,,0
288,ok,Babban Gona Farmers Organization,Lend,Nigeria,active,1.5,4,Secular,No mention of religion.,3,Babban Gona is similar to One Acre in that it operates much like a co-op.  They have franchisee groups who they basically coach and work with on a collective basis for efficiency.  I like the fact that it builds the farming infrastructure.,"None, but see:  http://businessdaynigeria.com/empowering-smallholder-farmers-will-unlock-10-million-jobs  Also mentioned in a TEDx Talk:  http://www.doreopartners.com/how-to-create-10-million-commercial-farmers-in-nigeria-by-2030/",Jim,5/23/2013,P: agree,,,Babban Gona Farmers Organization,,0
351,ok,BagoSphere Ph Inc,Lend,Philippines,active,,4,Secular,No mention of religion,2,"Works with youths with at least a high school diploma, training them in a 2-month program of English and basic job skills.  Focused on preparing rural kids for call center jobs.",http://www.bagosphere.com/,Jim,2/3/2014,,,,BagoSphere Ph Inc,,0
171,ok,Bai Tushum Bank CJSC,Lend,Kyrgyzstan,active,4.5,4,Secular,"one of the founders is Caritas, a Swiss church foundation - the MFI celebrated the end of the ramadan by donating to a children's house. Further no mention of god or allah.",2,Social = 2.  No initiatives but do charity work that is typically to help children.,http://www.baitushum.kg/en/,Petra,4/21/2011,P-social-agree,,,Bai Tushum Bank CJSC,,0
337,ok,Banco Pérola,Lend,Brazil,active,,4,Secular,No mention of religion,2,"Mission is ""To contribute to social change through financial inclusion of young entrepreneurs"".  There are no social programs other than helping young entrepreneurs with startup and cash flow loans.",http://www.bancoperola.org.br/site/,Jim,10/17/2013,,,,Banco Pérola,,0
334,ok,Belghoria Janakalyan Samity,Lend,India,active,3,4,Secular,No mention of religion,4,"Belghoria's focus is ""poverty alleviation through women's empowerment"".  They have a wide range of social programs - vocational training, medical checkups, sanitation, gender sensitivity education, etc.",http://www.bjsmfindia.com/index.html,Jim,10/26/2013,,,,Belghoria Janakalyan Samity,,0
182,ok,BRAC Liberia Microfinance Company Limited,Lend,Liberia,active,1.5,4,Secular,secular,4,"Social = 4, broad spectrum of in-depth social programs by BRAC.  Presume that its flowed down to branches. ",http://www.brac.net/content/brac-liberia,Petra,4/20/2011,P - Social - agree,,,BRAC Liberia Microfinance Company Limited,,0
247,ok,BRAC Pakistan,Lend,Pakistan,active,2.5,4,Secular,BRAC is in many countries and is secular,3,"Focuses on women (100% of borrowers are female). Also provides schooling to about 600 young kids (hopes to expand this) and primary health care and health education. A big 2 or small 3, for now a 2; Jim?
Jim:  I would go with a 3. P: ok",http://www.brac.net/content/about-brac-pakistan,Petra,8/25/2012,,,,BRAC Pakistan,,0
183,ok,BRAC Sierra Leone Microfinance Company Limited,Lend,Sierra Leone,active,2,4,Secular,secular,4,"Social = 4, broad spectrum of in-depth social programs by BRAC.  Presume that its flowed down to branches. ",http://www.brac.net/content/about-brac-sierra-leone,Petra,4/20/2011,P - Social - agree,,,BRAC Sierra Leone Microfinance Company Limited,,0
65,ok,BRAC Uganda,Lend,Uganda,active,4,4,Secular,"BRAC is in many countries, founded by 
Fazle Hasan Abed who is quoted as saying ""I would like to think of myself as a free thinker - not having much faith in the rituals of religion but a strong mooring in the core ethical and human values.""",4,"Social: have some good activities such as education, health education,  and encouraging the women to save money.",http://uganda.brac.net/,Jim,4/21/2011,,,,BRAC Uganda,,0
213,ok,BrazAfric,Lend,Kenya,active,,4,Secular,It is a business that does not mention religion on their website. They are currently partnering with Grassrood Business Fund which doesn't seem religiously based to me either (http://www.gbfund.org).,2,BrazAfric is a social enterprise. They want to make a profit. But their products are social: they provide solar lighting products and safer and cleaner cooking products in areas where people have little access to electricity or to financial products and credit. I think they're a 2 socially because of these good products they sell.,http://brazafric.co.ke,Petra,8/22/2012,,,,BrazAfric,,0
421,ok,Buksh Foundation,Lend,Pakistan,active,,4,Secular,No mention of religion,3,Targets loans to women to help them be independent.  They especially focus on women who are using the loan for their own business instead of a family or husband's business.  CEO and majority of staff are women.  Provides life insurance and education on business development and finance.  Seeks to help the 40%+ in Pakistan who don't have access to electricity.  Kiva loans are thus far for purchases of solar kits to increase productivity.,http://bukshfoundation.org/bf/,Jim,3/22/2015,,,,Buksh Foundation,,0
397,ok,Burn Manufacturing Co,Lend,"Kenya, Rwanda, Tanzania, Uganda",active,,4,Presumed secular,"No mention of religion, but nothing on mission or values",1,"For-profit manufacturer of clean burning and efficient wood stoves.  Mainly run by Americans, but manufacturing and several management and administration positions are in Kenya.  No real social goals.  They have a ""finance one for a low income family"", but the money goes to Burn and they finance (not give) the stove.  Kiva loans are for distributors to get started.",http://www.burnstoves.com/,Jim,8/29/2015,,,,Burn Manufacturing Co,,0
379,ok,Camfed Tanzania,Lend,Tanzania,active,,4,Secular,No mention of religion,4,Camfed (Campaign for Female Education) supports women getting an education and becoming financially independent.  Kiva loans are to help graduates start a business etc.  Graduates become mentors.,https://camfed.org/where-we-work/tanzania/,Jim,9/29/2014,,,,Camfed Tanzania,,0
305,ok,Camfed Zimbabwe,Lend,Zimbabwe,active,2.5,4,Secular,No mention of religion,4,"Camfed = Campaign for Female Education.  Goal is fostering education, independence, and leadership of young women.  Borrowers pay back the ""interest"" in social capital - by volunteering as teaching assistants.",https://camfed.org/,Jim,9/27/2013,,,,Camfed Zimbabwe,,0
105,ok,"CAURIE Microfinance, a partner of Catholic Relief Services",Lend,Senegal,active,3.5,2,Christian,"No mention of religion or secularity, but partners with Catholic Relief Services who ""Although our mission is rooted in the Catholic faith, our operations serve people based solely on need, regardless of their race, religion or ethnicity.""  Board of Directors of CRS are all clergy.",1,Except for savings account no other social initiatives mentioned.,http://translate.google.com/translate?hl=en&sl=fr&u=http://www.caurie-mf.com/&ei=yJ-wTa6LI4Lo0QGs1YD9CA&sa=X&oi=translate&ct=result&resnum=1&sqi=2&ved=0CCIQ7gEwAA&prev=/search%3Fq%3Dcaurie%2Bmicrofinance%26hl%3Den%26prmd%3Divns,Jim,4/21/2011,,,,"CAURIE Microfinance, a partner of Catholic Relief Services",,0
144,ok,"Center for Community Transformation Credit Cooperative, a partner of HOPE International",Lend,Philippines,active,3,1,Christian,"Dedicated to transforming the lives and communities by providing services to the poor through a holistic development approach anchored in Christian principles. Jim - agree.  ""Serving God by serving the poor"" - not exactly altruistic.",3,"April 2013: Has training and development programs, clinics and disaster relief operations. Offers medication at low prices. Encourages people to insure themselves. People ARE encouraged to become (more) christian, but this is reflected in the MFIs secular rating. For social rating, a 3. (NB also offers circumcision of young males in their health program; could be a dealbreaker for some of us). ",http://www.cct.org.ph/,Petra,4/22/2011,Social - Petra - I agree,,,"Center for Community Transformation Credit Cooperative, a partner of HOPE International",,0
74,ok,CEPRODEL,Lend,Nicaragua,active,1.5,4,Secular,"Website is inactive, but no reason to think they are not secular.  Although Nicaragua is ~80% Catholic, their constitution is clear on separation of church and state and that sentiment seems to carry thru to social aspects.
Note the 2010 revolt against high interest charged by MFI's (No Pago movement).",3,"Social: also focuses on housing, clean water, renewable energy. Plus lots of business education, also specified agricultural advice",www.ceprodel.org.ni,Jim,4/21/2011,Woohoo! Websites works again (only the Spanish version). Is secular,,,CEPRODEL,,0
166,ok,CHF International Access to Credit Services Initiatives (ACSI) Iraq,Lend,Iraq,active,3,4,Secular,"secular, serve multiple ethnic groups in Iraq",4,"Extensive and proactive social initiatives, education, housing, health care, relief after crisis, etc etc",http://www.chfinternational.org/ and specifically http://www.chfinternational.org/node/27992,Petra,4/21/2011,P- Social - Agree,,,CHF International Access to Credit Services Initiatives (ACSI) Iraq,,0
140,ok,CIDRE,Lend,Bolivia,active,3.5,4,Secular,Secular,2,"Offer insurance products, have contributed to irrigation projects and basic sanitation projects",http://www.cidre.org.bo/,Petra,4/22/2011,Social - Petra : I'd go with a 2; I typed some of the spanish text into google and found that they had funded irrigation project and basic sanitation projects. (see Impacto Social page in dropdown menu).,,,CIDRE,,0
448,ok,COCAFCAL,Lend,Honduras,active,,4,Secular,No mention of religion,4,"Coffee producer cooperative that promotes green farming practices.  Contributes to community by such things as a new soccer field, a library, funding a doctor for the clinic and Peace Corp volunteers, dental visits, etc.  Works with Heifer International on food security and sustainable farming projects, and helps farmers with a plant nursery, bee hives for pollination and honey production as well as marketing their coffee.",http://www.mycapucascoffee.coop/,Jim,3/24/2015,,,,COCAFCAL,,0
125,ok,"Community Economic Ventures, Inc. (CEVI), a partner of VisionFund International",Lend,Philippines,active,2,1,Christian,"Christian based, partners w World Vision, offers special islamic loans to muslims since a couple of months (based on islamic laws). Should this be applauded? Jim - found website.  Secular = 1.  Churches have less religion on their websites...   Petra: I agree . ",2,"
Social = 2.",http://cevi.org.ph/,Petra,4/22/2011,"Social - Petra - they claim to offer business education, (on Kiva site and on their own website) which would make them a 2 on my list. Plus offer savings.",,,"Community Economic Ventures, Inc. (CEVI), a partner of VisionFund International",,0
333,ok,CONFRAS,Lend,El Salvador,inactive,,4,Secular,No mention of religion,3,"Farming cooperative that promotes organizing laborers, related political issues, sustainable agriculture, training, and gender equality.  Overal objective is to improve the quality of life of the members.",http://www.confras.com/,Jim,11/21/2013,,,,CONFRAS,,0
457,ok,Cooperativa de Ahorro y Credito Mujeres Unidas (CACMU),Lend,Ecuador,active,2,4,Secular,No mention of religion,2,"CACMU targets women in both rural and urban areas, though Kiva loans are focused on providing a mobile branch office to the rural areas without access to banking.  There are some good goals and initiatives, and they access people who would otherwise not have access to credit, but this is primarily a lending institution.",http://www.cacmu.com/,Jim,8/30/2015,,,,Cooperativa de Ahorro y Credito Mujeres Unidas (CACMU),,0
